Cuadro 15

"Región, provincia, municipio, distrito 
municipal y zona "	Total 	"Del acueducto
 dentro de 
la vivienda "	"Del acueducto 
en el patio 
de la vivienda "	"De una 
llave pública "	"De una
 llave de otra
 vivienda"	"Manantial,
 río, arroyo "	Pozo tubular	Pozo cavado	Lluvia 	"Camión 
tanque "	Botellones 	"Camioncito 
procesada "	Otro
Municipio Fantino	8,349	103	20	222	6	3	103	4	139	37	7,705	7	0
Municipio Villa La Mata	13,398	185	52	145	43	8	70	34	252	167	11,960	480	2
Municipio Bonao	50,536	4,799	434	2,143	151	1,047	211	191	25	71	41,389	69	6
Municipio Maimón	8,274	53	13	66	20	32	89	11	15	15	7,960	0	0
Municipio Piedra Blanca	9,340	797	81	286	11	544	104	26	6	21	7,454	9	1
Municipio San Francisco de Macorís	73,225	3,513	320	731	65	126	53	35	2,039	150	66,103	84	6
Municipio Arenoso 	5,225	14	1	6	0	5	7	0	342	288	4,159	396	7
Municipio Castillo	5,995	103	9	96	15	7	24	12	1,085	127	4,140	377	0
Municipio Pimentel 	6,303	209	27	10	1	0	12	2	452	53	5,247	290	0
Municipio Villa riva	12,685	12	16	302	19	26	107	3	971	288	10,759	174	8
Municipio Las Guáranas	5,101	8	2	0	3	0	22	2	186	26	4,758	94	0
Municipio Eugenio María de Hostos	2,139	16	5	4	4	1	1	0	321	60	1,541	186	0
Municipio Nagua 	29,198	2,926	476	1,110	77	45	26	28	822	177	23,213	296	2
Municipio Cabrera	10,890	350	34	116	21	74	30	13	237	63	9,909	43	0
Municipio El Factor 	10,928	182	85	44	6	59	22	14	780	340	8,543	853	0
Municipio Río San Juan	6,405	57	63	294	3	89	13	4	106	26	5,736	12	2
Municipio Salcedo	14,698	336	22	79	9	26	29	28	1,763	76	12,325	5	0
Municipio Tenares	10,449	335	40	219	12	162	28	3	1,320	40	8,284	6	0
Municipio Villa Tapia	8,983	221	30	121	12	2	20	5	874	19	7,674	5	0
Municipio Samaná	22,840	836	182	307	34	614	13	40	1,007	265	18,991	550	1
Municipio Sánchez	9,374	282	18	46	9	16	11	2	230	121	7,990	649	0
Municipio Las Terrenas	9,722	551	48	149	7	19	6	22	59	51	8,727	83	0
Municipio Dajabón	12,092	753	166	57	14	3	39	10	20	21	10,984	25	0
Municipio Loma de Cabrera	5,658	1,099	332	337	72	71	13	2	4	10	3,718	0	0
Municipio Partido 	2,859	40	10	111	4	12	44	2	10	19	2,598	8	1
Municipio Restauración 	2,646	279	357	260	70	358	6	25	5	4	1,278	4	0
Municipio El Pino	2,247	449	104	8	13	27	8	1	5	0	1,626	6	0
Municipio Monte Cristi	10,115	432	287	143	14	6	1	1	11	35	9,178	7	0
Municipio Castañuelas	7,234	558	698	93	40	0	1	0	9	18	5,814	3	0
Municipio Guayubín	14,598	1,510	673	89	26	13	2	2	166	38	12,070	9	0
Municipio Las Matas de Santa Cruz	4,123	295	197	190	20	0	9	1	13	52	3,342	3	1
Municipio Pepillo Salcedo 	3,944	246	246	231	13	0	13	8	8	12	3,164	1	2
Municipio Villa Vásquez	6,142	391	223	12	12	1	0	0	18	57	5,427	1	0
Municipio San Ignacio de Sabaneta	13,948	1,122	111	274	43	325	96	14	27	53	11,857	26	0
Municipio Villa Los Almácigos 	4,062	1,235	421	496	28	46	0	1	0	13	1,813	9	0
Municipio Monción	4,884	30	8	91	13	32	2	0	18	20	4,667	2	1
Municipio Mao	31,178	4,171	1,099	687	149	61	7	4	48	102	24,844	2	4
Municipio Esperanza	24,105	2,071	1,274	600	50	165	14	13	48	53	19,795	21	1
Municipio Laguna Salada 	10,318	1,201	763	176	10	14	19	3	69	21	8,035	7	0
Municipio Baní	53,021	1,803	410	871	101	359	50	98	129	460	48,019	717	4
Municipio Nizao	10,335	384	82	157	12	3	5	1	3	60	9,600	28	0
Municipio Matanzas	6,741	167	138	48	2	2	53	16	3	63	6,110	139	0
Municipio San Cristóbal 	88,583	3,399	645	832	68	173	93	159	689	1,574	71,590	9,359	2
Municipio Sabana Grande de Palenque 	5,680	154	130	21	5	0	3	0	1	128	4,527	711	0
Municipio Bajos de Haina	53,277	2,446	313	294	30	5	82	44	43	1,896	36,335	11,783	6
Municipio Cambita Garavitos	10,423	125	91	143	50	831	218	251	401	136	7,569	608	0
Municipio Villa Altagracia	32,108	1,023	605	389	124	191	401	168	95	253	28,767	84	8
Municipio Yaguate	16,375	234	74	140	18	63	30	23	338	695	10,941	3,818	1
Municipio San Gregorio de Nigua	12,565	355	180	121	19	0	10	16	101	722	6,939	4,102	0
Municipio Los Cacaos	3,992	1,168	179	357	11	1,327	217	24	9	0	700	0	0
Municipio San José de Ocoa	16,200	830	695	577	44	588	12	9	5	84	13,036	318	2
Municipio Sabana Larga	4,379	231	280	237	43	342	11	2	5	19	3,192	17	0
Municipio Rancho Arriba	5,451	516	411	973	21	311	8	33	6	9	3,162	1	0
Municipio de Neiba	12,152	589	326	446	180	388	29	34	61	151	9,624	316	8
Municipio Galván	5,359	450	271	238	183	230	34	63	4	75	3,768	42	1
Municipio Tamayo	9,962	284	670	155	85	12	1	2	2	245	7,787	718	1
Municipio Villa Jaragua	3,693	55	156	37	30	292	64	26	43	42	2,934	11	3
Municipio Los Ríos	2,709	240	231	22	35	303	5	7	13	12	1,839	2	0
Municipio Barahona	27,560	1,892	1,114	572	88	121	67	113	92	490	22,759	250	2
Municipio Cabral	4,871	719	306	26	7	35	0	10	19	96	3,557	96	0
Municipio Enriquillo	4,468	180	406	509	85	154	16	75	295	31	2,702	14	1
Municipio Paraíso 	5,114	415	254	723	54	431	6	8	565	27	2,629	2	0
Municipio Vicente Noble 	8,230	311	169	29	11	3	0	0	7	100	7,266	334	0
Municipio El Peñón	1,370	4	7	26	0	0	0	0	0	18	1,300	15	0
Municipio La Ciénaga	2,741	1,205	842	365	13	80	0	10	106	5	115	0	0
Municipio Fundación	2,924	60	71	4	17	0	2	0	0	20	2,750	0	0
Municipio Las Salinas	1,552	20	102	8	21	1	0	0	0	17	1,382	1	0
Municipio Polo	2,468	431	184	272	138	31	12	5	246	5	1,138	0	6
Municipio Jaquimeyes	1,313	27	11	3	1	0	0	0	0	11	1,259	1	0
Municipio Jimaní	5,852	303	142	225	79	41	66	52	8	63	4,097	776	0
Municipio Duvergé	4,445	116	86	625	34	89	4	7	6	11	3,466	1	0
Municipio La Descubierta 	2,376	99	41	119	23	55	2	0	0	25	1,732	280	0
Municipio Postrer Río	2,173	305	176	84	28	350	11	0	3	14	1,197	5	0
Municipio Cristóbal	2,412	244	251	154	173	0	0	1	1	6	1,575	6	1
Municipio Mella	1,485	9	129	4	10	1	0	0	2	7	1,230	93	0
Municipio Pedernales	7,342	439	494	368	102	250	22	58	423	44	5,129	11	2
Municipio Oviedo	3,148	83	53	16	5	3	16	50	110	98	2,708	6	0
Municipio Azua	32,360	1,204	1,087	886	187	24	110	97	2	356	28,327	72	8
Municipio Las Charcas	4,913	156	145	77	8	26	1	1	9	18	4,465	1	6
Municipio Las Yayas de Viajama	6,705	186	501	66	45	28	1	1	7	27	5,839	4	0
Municipio Padre Las Casas	7,022	789	714	465	105	650	1	15	0	8	4,273	2	0
Municipio Peralta	4,386	516	632	58	139	146	0	2	5	5	2,877	4	2
Municipio Sabana Yegua	6,616	145	242	27	20	52	5	0	1	40	6,054	29	1
Municipio Pueblo Viejo 	3,844	43	45	29	2	0	20	3	7	11	3,684	0	0
Municipio Tábara Arriba	6,710	459	582	55	6	33	0	0	12	16	5,546	1	0
Municipio Guayabal	1,949	254	160	31	10	127	9	46	0	3	1,308	1	0
Municipio Estebanía	2,790	191	108	125	5	99	7	78	0	28	2,147	2	0
Municipio Comendador	8,275	197	400	278	195	882	46	54	15	35	6,166	3	4
Municipio Bánica	2,316	53	74	46	18	293	4	7	14	13	1,794	0	0
Municipio El Llano	2,629	32	405	311	199	77	22	14	0	23	1,541	3	2
Municipio Hondo Valle	2,926	194	350	386	73	212	19	2	2	7	1,679	2	0
Municipio Pedro Santana	1,960	448	430	286	30	261	1	1	8	2	493	0	0
Municipio Juan Santiago	1,102	89	377	161	36	76	0	0	1	1	361	0	0
Municipio San Juan	48,501	4,386	3,982	1,196	372	651	266	180	11	109	37,312	32	4
Municipio Bohechío	3,476	349	869	93	59	94	0	3	0	2	2,007	0	0
Municipio El Cercado	5,783	668	1,697	917	247	40	1	4	0	12	2,193	3	1
Municipio Juan de Herrera	4,381	307	553	83	42	27	4	9	1	12	3,343	0	0
Municipio Las Matas de Farfán	16,421	1,408	1,149	569	90	289	99	77	28	121	12,558	26	7
Municipio Vallejuelo	4,254	219	362	237	106	50	8	14	7	16	3,205	30	0
Municipio El Seibo	25,696	804	747	2,138	145	590	389	261	1,618	552	17,132	1,319	1
Municipio Miches	9,572	260	42	56	7	99	105	65	69	71	8,684	113	1
Municipio Higüey	160,056	6,338	390	1,455	224	235	1,817	909	2,382	3,163	130,564	12,567	12
Municipio San Rafael del Yuma	12,363	431	172	1,055	45	8	289	61	264	453	8,551	1,034	0
Municipio La Romana	53,573	2,386	337	261	29	4	24	11	26	307	49,952	234	2
Municipio Guaymate	5,432	129	292	704	31	90	14	8	23	18	4,123	0	0
Municipio Villa Hermosa	37,378	1,069	178	57	17	2	51	55	87	200	35,578	82	2
Municipio San Pedro de Macorís	75,448	1,789	298	159	50	3	272	160	53	697	70,859	1,094	14
Municipio Los Llanos 	9,124	116	226	283	26	8	39	28	139	12	8,213	34	0
Municipio Ramón Santana	3,997	94	46	68	12	8	36	316	33	16	3,325	43	0
Municipio Consuelo	13,797	481	207	456	75	3	72	114	29	230	12,113	17	0
Municipio Quisqueya	7,640	116	41	39	9	0	15	39	37	20	7,318	3	3
Municipio Guayacanes	6,893	81	25	20	9	0	1	19	13	47	6,625	53	0
Municipio Monte Plata	19,349	268	171	613	128	89	1,171	915	416	78	15,398	101	1
Municipio Bayaguana	13,005	158	50	212	31	261	87	130	308	152	10,886	730	0
Municipio Sabana Grande de Boyá	12,146	238	173	196	67	160	18	70	1,168	64	9,817	175	0
Municipio Yamasá	21,557	438	199	1,239	132	636	1,013	727	1,222	138	15,765	48	0
Municipio Peralvillo	6,402	16	18	234	14	164	310	91	507	16	5,030	2	0
Municipio Hato Mayor 	25,241	270	181	236	12	131	126	53	1,104	312	22,796	19	1
Municipio Sabana de la mar	7,119	94	24	38	2	12	55	12	144	494	5,012	1,232	0
Municipio El valle	3,856	50	8	31	3	47	17	9	86	104	3,224	275	2


Cuadro 13

"Región, provincia, municipio, distrito 
municipal y zona "	Total 	Total 	Total 	No tiene 	Sin información						
Municipio Santo Domingo de Guzmán	365,548	360,360	3,343	1,845	0						
Municipio Santo Domingo Este	351,360	345,492	3,683	2,185	0						
Municipio Santo Domingo Oeste	143,144	140,737	1,285	1,122	0						
Municipio Santo Domingo Norte	224,697	212,377	8,174	4,146	0						
Municipio Boca Chica	56,593	53,659	1,440	1,494	0						
Municipio San Antonio de Guerra	20,885	16,394	2,798	1,693	0						
Municipio Los alcarrizos	111,928	108,969	1,734	1,225	0						
Municipio Pedro Brand	31,206	28,684	1,516	1,006	0						
Municipio Moca	54,913	47,595	6,381	937	0						
Municipio Cayetano Germosén	2,996	2,214	664	118	0						
Municipio Gaspar Hernández 	15,090	12,458	2,361	271	0						
Municipio Jamao al Norte	2,883	2,044	770	69	0						
Municipio San Víctor	6,588	5,249	1,230	109	0						
Municipio Puerto Plata	59,241	55,983	2,599	657	2						
Municipio Altamira	7,149	5,029	2,029	91	0						
Municipio Guananico	2,447	1,850	533	64	0						
Municipio Imbert	8,905	6,893	1,755	257	0						
Municipio Los Hidalgos	4,814	3,447	1,293	74	0						
Municipio Luperón	6,575	4,157	2,261	157	0						
Municipio Sosúa	21,065	20,104	630	331	0						
Municipio Villa Isabela 	7,153	4,942	2,028	183	0						
Municipio Villa Montellano 	7,698	7,079	345	274	0						
Municipio de Santiago	272,180	263,843	6,267	2,070	0						
Municipio Bisonó	17,181	15,007	1,876	298	0						
Municipio Jánico	5,252	3,584	1,578	90	0						
Municipio Licey al Medio	9,956	9,238	525	193	0						
Municipio San José de las Matas	13,028	10,722	2,102	204	0						
Municipio Tamboril	19,888	18,499	1,202	187	0						
Municipio Villa González	14,456	12,247	1,830	379	0						
Municipio Puñal	15,621	14,971	539	111	0						
Municipio Sabana Iglesia	5,222	4,391	665	166	0						
Municipio Baitoa	3,919	2,803	1,057	59	0						
Municipio La Vega	96,210	83,342	11,438	1,430	0						
Municipio Constanza	23,946	20,583	2,750	613	0						
Municipio Jarabacoa	23,382	20,898	2,065	419	0						
Municipio Jima Abajo	10,043	8,448	1,210	385	0						
Municipio Cotuí	29,915	24,426	4,610	879	0						
Municipio Cevicos	5,837	3,760	1,855	222	0						
Municipio Fantino	8,349	6,737	1,446	166	0						
Municipio Villa La Mata	13,398	10,167	2,553	678	0						
Municipio Bonao	50,536	47,293	2,431	812	0						
Municipio Maimón	8,274	7,529	659	86	0						
Municipio Piedra Blanca	9,340	8,347	753	240	0						
Municipio San Francisco de Macorís	73,225	63,289	9,006	930	0						
Municipio Arenoso 	5,225	3,604	1,330	291	0						
Municipio Castillo	5,995	4,505	1,386	104	0						
Municipio Pimentel 	6,303	4,923	1,191	189	0						
Municipio Villa Riva	12,685	8,698	3,397	589	1						
Municipio Las Guáranas	5,101	4,267	590	244	0						
Municipio Eugenio María de Hostos	2,139	1,360	653	126	0						
Municipio Nagua 	29,198	23,078	5,069	1,051	0						
Municipio Cabrera	10,890	9,254	1,296	340	0						
Municipio El Factor 	10,928	7,639	2,735	554	0						
Municipio Río San Juan	6,405	5,208	904	293	0						
Municipio Salcedo	14,698	11,535	2,977	186	0						
Municipio Tenares	10,449	8,756	1,584	109	0						
Municipio Villa Tapia	8,983	6,247	2,571	165	0						
Municipio Samaná	22,840	17,487	3,990	1,363	0						
Municipio Sánchez	9,374	8,062	900	412	0						
Municipio Las Terrenas	9,722	9,147	329	246	0						
Municipio Dajabón	12,092	8,637	3,217	238	0						
Municipio Loma de Cabrera	5,658	3,576	1,912	170	0						
Municipio Partido 	2,859	1,628	1,149	82	0						
Municipio Restauración 	2,646	902	1,539	205	0						
Municipio El Pino	2,247	1,233	958	56	0						
Municipio Monte Cristi	10,115	6,492	3,216	407	0						
Municipio Castañuelas	7,234	3,019	3,784	431	0						
Municipio Guayubín	14,598	7,041	7,155	402	0						
Municipio Las Matas de Santa Cruz	4,123	1,907	2,112	104	0						
Municipio Pepillo Salcedo 	3,944	2,089	1,688	167	0						
Municipio Villa Vásquez	6,142	3,799	2,164	179	0						
Municipio San Ignacio de Sabaneta	13,948	10,253	3,484	211	0						
Municipio Villa Los Almácigos 	4,062	2,359	1,542	161	0						
Municipio Monción	4,884	3,632	1,193	59	0						
Municipio Mao	31,178	22,265	7,979	934	0						
Municipio Esperanza	24,105	16,482	7,105	518	0						
Municipio Laguna Salada 	10,318	6,341	3,716	261	0						
Municipio Baní	53,021	46,741	4,989	1,291	0						
Municipio Nizao	10,335	8,777	1,062	496	0						
Municipio Matanzas	6,741	5,854	727	160	0						
Municipio San Cristóbal 	88,583	78,174	8,803	1,606	0						
Municipio Sabana Grande de Palenque 	5,680	5,069	359	252	0						
Municipio Bajos de Haina	53,277	50,373	1,964	940	0						
Municipio Cambita Garavitos	10,423	8,242	1,942	239	0						
Municipio Villa Altagracia	32,108	26,233	4,340	1,535	0						
Municipio Yaguate	16,375	11,847	3,679	849	0						
Municipio San Gregorio de Nigua	12,565	9,287	2,710	568	0						
Municipio Los Cacaos	3,992	2,721	1,202	69	0						
Municipio San José de Ocoa	16,200	12,597	2,911	692	0						
Municipio Sabana Larga	4,379	3,183	976	220	0						
Municipio Rancho Arriba	5,451	3,729	1,507	215	0						
Municipio de Neiba	12,152	6,769	2,943	2,440	0						
Municipio Galván	5,359	2,933	1,338	1,088	0						
Municipio Tamayo	9,962	5,592	2,046	2,324	0						
Municipio Villa Jaragua	3,693	2,011	1,245	437	0						
Municipio Los Ríos	2,709	1,525	785	399	0						
Municipio Barahona	27,560	22,529	4,115	916	0						
Municipio Cabral	4,871	3,433	1,078	360	0						
Municipio Enriquillo	4,468	2,640	1,444	384	0						
Municipio Paraíso 	5,114	3,273	1,256	585	0						
Municipio Vicente Noble 	8,230	6,009	1,366	855	0						
Municipio El Peñón	1,370	969	239	162	0						
Municipio La Ciénaga	2,741	1,970	520	251	0						
Municipio Fundación	2,924	1,714	644	566	0						
Municipio Las Salinas	1,552	1,081	384	87	0						
Municipio Polo	2,468	1,314	940	214	0						
Municipio Jaquimeyes	1,313	1,020	230	63	0						
Municipio Jimaní	5,852	3,501	1,675	676	0						
Municipio Duvergé	4,445	3,377	853	215	0						
Municipio La Descubierta 	2,376	1,452	785	139	0						
Municipio Postrer Río	2,173	1,055	785	333	0						
Municipio Cristóbal	2,412	792	312	1,308	0						
Municipio Mella	1,485	1,010	311	164	0						
Municipio Pedernales	7,342	5,082	1,462	798	0						
Municipio Oviedo	3,148	1,820	903	425	0						
Municipio Azua	32,360	23,420	7,006	1,934	0						
Municipio Las Charcas	4,913	3,436	1,067	410	0						
Municipio Las Yayas de Viajama	6,705	3,299	2,628	778	0						
Municipio Padre Las Casas	7,022	4,274	2,155	593	0						
Municipio Peralta	4,386	2,371	1,484	531	0						
Municipio Sabana Yegua	6,616	4,102	2,108	405	1						
Municipio Pueblo Viejo 	3,844	2,214	1,046	584	0						
Municipio Tábara Arriba	6,710	3,679	2,431	600	0						
Municipio Guayabal	1,949	1,133	612	204	0						
Municipio Estebanía	2,790	1,439	1,181	170	0						
Municipio Comendador	8,275	4,279	3,126	870	0						
Municipio Bánica	2,316	788	1,273	255	0						
Municipio El Llano	2,629	723	1,469	437	0						
Municipio Hondo Valle	2,926	1,320	1,097	509	0						
Municipio Pedro Santana	1,960	527	1,100	333	0						
Municipio Juan Santiago	1,102	454	441	207	0						
Municipio San Juan	48,501	33,186	12,703	2,612	0						
Municipio Bohechío	3,476	1,910	1,191	375	0						
Municipio El Cercado	5,783	2,766	2,302	715	0						
Municipio Juan de Herrera	4,381	2,262	1,754	365	0						
Municipio Las Matas de Farfán	16,421	10,055	5,544	822	0						
Municipio Vallejuelo	4,254	2,054	1,559	641	0						
Municipio El Seibo	25,696	14,047	7,813	3,834	2						
Municipio Miches	9,572	7,231	1,643	698	0						
Municipio Higüey	160,056	148,052	9,859	2,145	0						
Municipio San Rafael del Yuma	12,363	8,446	3,340	577	0						
Municipio La Romana	53,573	50,829	2,199	545	0						
Municipio Guaymate	5,432	2,573	2,543	316	0						
Municipio Villa Hermosa	37,378	32,723	3,628	1,027	0						
Municipio San Pedro de Macorís	75,448	69,708	3,790	1,950	0						
Municipio Los Llanos 	9,124	4,750	2,677	1,697	0						
Municipio Ramón Santana	3,997	2,229	1,159	609	0						
Municipio Consuelo	13,797	10,649	1,677	1,471	0						
Municipio Quisqueya	7,640	5,741	1,398	501	0						
Municipio Guayacanes	6,893	5,845	343	705	0						
Municipio Monte Plata	19,349	12,959	4,972	1,418	0						
Municipio Bayaguana	13,005	8,909	3,344	752	0						
Municipio Sabana Grande de Boyá	12,146	7,233	3,726	1,187	0						
Municipio Yamasá	21,557	14,095	5,390	2,072	0						
Municipio Peralvillo	6,402	4,034	1,939	429	0						
Municipio Hato Mayor 	25,241	18,919	4,482	1,840	0						
Municipio Sabana de la mar	7,119	5,510	1,230	379	0						
Municipio El valle	3,856	2,596	896	364	0						



Cuadro 14

"Región, provincia, municipio, distrito 
municipal y zona "	Total 	Del acueducto dentro de la vivienda 	Del acueducto en el patio de la vivienda	De una llave pública 	De una llave de otra vivienda	De un tubo de la calle 	Manantial, río, arroyo 	Pozo tubular	Pozo cavado	Lluvia 	Camión tanque 	Otro
Municipio Santo Domingo de Guzmán	365,548	294,146	27,632	10,891	5,848	20,940	75	1,722	1,740	184	1,748	622
Municipio Santo Domingo Este	351,360	250,752	23,143	13,745	4,405	18,897	21	10,667	13,890	322	14,543	975
Municipio Santo Domingo Oeste	143,144	112,503	6,239	3,980	1,513	9,094	33	1,797	2,096	224	5,444	221
Municipio Santo Domingo Norte	224,697	133,926	14,076	10,450	4,268	17,875	157	14,711	15,427	779	12,201	827
Municipio Boca Chica	56,593	29,103	10,514	2,436	1,386	3,895	6	1,602	5,945	186	1,292	228
Municipio San Antonio de Guerra	20,885	10,111	4,460	1,887	356	1,001	1	958	1,058	63	926	64
Municipio Los alcarrizos	111,928	80,312	6,882	3,020	1,259	6,837	25	2,698	1,886	485	8,281	243
Municipio Pedro Brand	31,206	20,087	3,281	1,208	573	1,881	376	1,155	988	295	1,291	71
Municipio Moca	54,913	40,206	1,946	2,582	399	2,396	509	2,205	2,388	512	1,673	97
Municipio Cayetano Germosén	2,996	1,444	94	173	175	148	8	552	196	52	140	14
Municipio Gaspar Hernández 	15,090	6,760	412	835	203	1,169	642	2,084	2,496	164	297	28
Municipio Jamao al Norte	2,883	1,949	269	262	24	63	165	95	21	16	11	8
Municipio San Víctor	6,588	3,802	515	656	22	82	175	658	141	95	396	46
Municipio Puerto Plata	59,241	43,691	3,197	2,546	302	1,268	1,076	1,172	1,072	144	4,666	107
Municipio Altamira	7,149	2,805	889	523	27	140	738	737	678	233	362	17
Municipio Guananico	2,447	1,778	63	224	65	134	72	21	28	4	24	34
Municipio Imbert	8,905	4,761	877	983	90	859	225	494	193	12	392	19
Municipio Los Hidalgos	4,814	1,791	472	439	46	255	478	355	580	29	361	8
Municipio Luperón	6,575	3,401	992	683	44	326	26	366	419	27	276	15
Municipio Sosúa	21,065	13,753	905	885	326	2,493	200	414	927	60	1,032	70
Municipio Villa Isabela 	7,153	2,960	601	838	52	88	52	713	570	43	1,206	30
Municipio Villa Montellano 	7,698	5,124	619	180	243	538	57	30	36	27	835	9
Municipio de Santiago	272,180	233,238	9,196	5,479	1,425	10,010	1,163	1,871	353	175	8,950	320
Municipio Bisonó	17,181	11,083	2,010	514	103	1,293	82	23	31	17	1,982	43
Municipio Jánico	5,252	3,111	223	633	33	133	722	37	70	110	173	7
Municipio Licey al Medio	9,956	8,704	333	278	24	564	0	13	7	3	21	9
Municipio San José de las Matas	13,028	10,376	587	450	90	264	908	72	29	70	161	21
Municipio Tamboril	19,888	14,910	461	812	84	689	441	1,089	728	73	557	44
Municipio Villa González	14,456	8,969	2,014	526	111	563	372	191	66	76	1,516	52
Municipio Puñal	15,621	13,402	549	402	45	891	0	30	10	21	266	5
Municipio Sabana Iglesia	5,222	4,064	318	348	54	280	7	5	1	58	75	12
Municipio Baitoa	3,919	2,317	532	450	7	100	59	2	39	137	263	13
Municipio La Vega	96,210	47,883	3,304	4,434	2,146	4,537	1,403	20,921	6,438	2,662	2,157	325
Municipio Constanza	23,946	15,223	1,945	1,080	570	832	1,314	2,348	27	15	521	71
Municipio Jarabacoa	23,382	13,617	551	1,835	335	1,210	1,501	3,597	180	185	219	152
Municipio Jima Abajo	10,043	5,781	499	1,051	98	1,233	209	1,007	47	32	67	19
Municipio Cotuí	29,915	15,224	2,156	2,124	440	1,642	759	5,953	758	146	675	38
Municipio Cevicos	5,837	2,325	261	647	99	89	384	1,151	523	280	59	19
Municipio Fantino	8,349	3,082	305	676	129	745	196	2,720	188	60	234	14
Municipio Villa La Mata	13,398	5,873	1,108	1,135	591	883	67	2,953	449	25	282	32
Municipio Bonao	50,536	39,960	1,877	1,441	303	3,566	1,052	1,104	1,101	14	31	87
Municipio Maimón	8,274	2,176	526	704	743	380	203	3,293	165	20	46	18
Municipio Piedra Blanca	9,340	6,258	308	499	39	628	840	484	223	49	3	9
Municipio San Francisco de Macorís	73,225	51,173	4,581	3,706	1,032	4,499	665	3,757	1,272	903	1,458	179
Municipio Arenoso 	5,225	1,053	249	90	46	34	561	1,969	815	296	84	28
Municipio Castillo	5,995	2,962	360	379	146	461	227	969	99	313	66	13
Municipio Pimentel 	6,303	2,818	517	239	140	279	76	1,745	282	180	6	21
Municipio Villa riva	12,685	2,218	579	1,255	1,020	190	491	5,879	632	324	12	85
Municipio Las Guáranas	5,101	722	56	37	192	308	22	3,530	24	60	132	18
