ID DEL CENTRO,NOMBRE DEL ESTABLECIMIENTO,DIRECCIÓN DEL CENTRO,TIPO DE CENTRO,REGIONAL DE SALUD,PROVINCIA,MUNICIPIO,SECTOR,AÑO DE APERTURA,COORD. LATITUD,COORD. LONGITUD
259,LOMA DE CASTAÑUELA,LOMA DE CASTANELA,CENTRO DE PRIMER NIVEL,CIBAO NOROESTE,MONTE CRISTI,CASTAÑUELAS,LOMA DE CASTAÑUELA ARRIBA,N/D,19.7028,-71.494
260,DOÑA ANTONIA,C DUARTE 24 HATILLO PALMA,CENTRO DE PRIMER NIVEL,CIBAO NOROESTE,MONTE CRISTI,GUAYUBIN,DOÑA ANTONIA,N/D,19.672,-71.2269
337,VILLA ELISA,CARRETERA PRINCIPAL VILLA ELISA,CENTRO DE PRIMER NIVEL,CIBAO NOROESTE,MONTE CRISTI,GUAYUBIN,VILLA ELISA,N/D,19.685565,-71.269
346,FRANCISCA GIL CPN SABANETA,CARRETERA SABANETA RANCHO VIEJO,CENTRO DE PRIMER NIVEL,CIBAO SUR,LA VEGA,LA VEGA,SABANETA 1,N/D,19.22493,-70.4774
364,CUTUPU,DENTRO DEL HOSPITAL MUNICIPAL JUAN ANTONIO CASTILLO DE CUTUPU,CENTRO DE PRIMER NIVEL,CIBAO SUR,LA VEGA,LA VEGA,CUTUPU,N/D,19.32024,-70.5426
365,PAPANAO CENTRO DE ZONA,CARRETERA LA VEGA MOCA PROXIMO A LA ESCUELA DE ARENOSO,CENTRO DE ZONA,CIBAO SUR,LA VEGA,LA VEGA,ARENOSO,N/D,19.24751,-70.53799
366,EL NARANJAL,CARRETERA LA VEGA MOCA ENTRADA DE EL NARANJAL,CENTRO DE PRIMER NIVEL,CIBAO SUR,LA VEGA,LA VEGA,EL NARANJAL,N/D,19.32877,-70.51517
367,LAS MARTINEZ,CARRETERA LA VEGA MOCA CALLEJON LAS MARTINEZ,CENTRO DE PRIMER NIVEL,CIBAO SUR,LA VEGA,LA VEGA,LOS MARTINEZ,N/D,19.25631,-70.54561
368,RIO SECO,RIO SECO CARRETERA LA VEGA MOCA,CENTRO DE PRIMER NIVEL,CIBAO SUR,LA VEGA,LA VEGA,RIO SECO 1,N/D,19.262991,-70.536667
369,SOTO,CARRETERA LA VEGA SOTO ENTRANDO POR LA ESCUELA DE SOTO,CENTRO DE PRIMER NIVEL,CIBAO SUR,LA VEGA,LA VEGA,SOTO,N/D,19.24851,-70.52146
370,LAS POCILGAS,CARRETERA SOTO POCILGAS AL LADO LA DE IGLESIA CATOLICA,CENTRO DE PRIMER NIVEL,CIBAO SUR,LA VEGA,LA VEGA,LAS POCILGAS,N/D,19.25253,-70.50727
371,CENTRO PADRE FANTINO,CALLE PRINCIPAL CARRETERA LA VEGA MOCA,CENTRO DIAGNOSTICO,CIBAO SUR,LA VEGA,LA VEGA,SANTO CERRO,N/D,19.28119,-70.54987
372,LA LIMA,CARRETERA LA LIMA DETRAS DE LA IGLESIA LA VEGA,CENTRO DE PRIMER NIVEL,CIBAO SUR,LA VEGA,LA VEGA,LA LIMA,N/D,19.28527,-70.50394
373,RIO VERDE ABAJO,CALLE PRINCIPAL RIO VERDE ABAJO SECTOR LOS PLACERES,CENTRO DE PRIMER NIVEL,CIBAO SUR,LA VEGA,LA VEGA,RIO VERDE ABAJO,N/D,19.307421,-70.521492
396,DISPENSARIO SANTA MARIA SOLEDAD,CALLE SIERVAS DE MARIA CENTRO DE LA CIUDAD,CENTRO DE PRIMER NIVEL,CIBAO SUR,LA VEGA,LA VEGA,EL CAMPITO 1,N/D,19.22372,-70.52202
401,INS PREP MENORES MAXIMO ANTONIO ALVAREZ,CALLE GARCIA GODOY,CENTRO DE PRIMER NIVEL,CIBAO SUR,LA VEGA,LA VEGA,EL CAMPITO 2,N/D,19.21737,-70.51467
865,ESCALERA ARRIBA,CARRETERA ESCALERA ARRIBA ALTAMIRA AL LADO DE LA BANCA,CENTRO DE PRIMER NIVEL,CIBAO NORTE,PUERTO PLATA,ALTAMIRA,ESCALERA ARRIBA,N/D,19.6301,-70.7891
887,AZLOR,CARRETERA MATA LARGA AZLOR,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,AZLOR,N/D,19.3,-70.19
888,CUABA CENTRO,CARRETERA CUABA CENTRO FRENTE A LA IGLESIA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,CUABA CENTRO,N/D,19.34279,-70.1797
889,DAMAJAGUAL,CARRETERA DAMAJAGUAL LA PENA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,DEMAJAGUAL,N/D,19.29445,-70.11316
891,EL RAMONAL,CARRETERA LA PENA EL RAMONAL PROXIMO A LA ESCUELA PRIMARIA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,EL RAMONAL,N/D,19.31631,-70.13631
898,QUITA ESPUELA,CENTRO COMUNAL MORENO FRENTE AL PLAY Y ESCUELA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,QUITA ESPUELA,N/D,19.32904,-70.14365
899,VENTURA GRULLON,CALLE I ESQUINA SAGRARIO DIAZ EN EL CENTRO COMUNAL,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,GRULLON 1,N/D,19.29743,-70.24063
900,ATABALERO,CARRETERA ATABALERO ALTO DE LOS NARANJOS,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,ATABALERO,N/D,19.39451,-70.30257
901,CRISTO REY,BARRIO LA ALTAGRACIA C F 10,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,CRISTO REY 1,N/D,19.31461,-70.25673
902,CENTRO DE SALUD INTEGRAL Y DESARROLLO CENSAIDE,CALLE CONCEPCION TAVERAS ESQ JOAQUIN GOMEZ,HOSPITAL ALTA COMPLEJIDAD,CIBAO SUR,LA VEGA,LA VEGA,DON BOSCO 1,N/D,19.218517,-70.534766
903,EL GUINEAL,CARRETERA LA VEREDA VENU PROXIMO A LA IGLESIA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,EL GUINEAL,N/D,19.46835,-70.2587
905,HOYO DE JAYA,CARRETERA JAYA LOS ARROYOS PROXIMO AL DESTACAMENTO POLICIAL,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,HOYO DE JAYA,N/D,19.35226,-70.23827
906,JUAN ALBERTO ESPINOLA,ESPINOLA PRIMERA ETAPA CALLE BAEZ 1,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,ESPINOLA 1,N/D,19.31892,-70.26666
909,MODESTO OGANDO,CALLE GIRASOL ESQUINA LILA,CENTRO DE PRIMER NIVEL,VALDESIA,SAN CRISTOBAL,SAN CRISTOBAL,LAS FLORES 1,N/D,18.42409,-70.11204
911,LA COLONIA,CARRETERA EL JOBITO LA COLONIA AL LADO DE LA ESCUELA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,LA COLONIA,N/D,19.41393,-70.22849
914,LA JOYA,CARRETERA LA JOYA LA MALENA AL LADO DE LA ESCUELA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,LA JOYA,N/D,19.35581,-70.27979
916,AGRIPINA PEREZ,AV CONSTITUCION ANTES DE LA AUTOPISTA 6 DE NOVIEMBRE EN EL CRUCE DE LOS MOLINA ENTRANDO A MANO IZQUIERDA,CENTRO DE PRIMER NIVEL,VALDESIA,SAN CRISTOBAL,SAN CRISTOBAL,PUERTO RICO 1,N/D,18.4278,-70.1192
919,LA MALENA,CARRETERA LA MALENAEL GUINEAL ALADO DEL LICEO Y FRENTE A LA ESCUELA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,LA MALENA,N/D,19.39441,-70.25723
922,LA MALENITA,CARRETERA JAYALA COLONIA CERCA DE LA ESCUELA DE LA MALENITA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,LA MALENITA,N/D,19.36922,-70.23045
926,LAS COLINAS,DUARTE ARRIBA PROXIMO A TAINA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,LAS COLINAS 1,N/D,19.30758,-70.24693
931,LOMA DE LA JOYA,LOMA DE LOS PAULINO AL LADO DE LA IGLESIA DE LOMA DE LA JOYA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,LOMA DE LA JOYA,N/D,19.37677,-70.28028
941,SAN VICENTE DE PAUL,CALLE CRISTINO ZENO ESQ ESPAILLAT AL LADO DEL HOSPITAL SAN VICENTE DE PAUL,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,SAN VICENTE 1,N/D,19.30541,-70.25656
952,BOBITA,C PRINCIPAL ESCUELA BOBITA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,MARIA TRINIDAD SANCHEZ,RIO SAN JUAN,BOBITA,N/D,19.56684,-70.10593
953,LA YAGUIZA,C SAN FRANCISCO TENARES AL LADO DEL LICEO,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,LA YAGUIZA 1,N/D,19.36224,-70.30663
955,AGUAYO,CALLE Q ESQ CALLE A AL LADO DEL PLAY,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,AGUAYO 1,N/D,19.2503,-70.3131
959,LA ROSA DE CENOVI,CARRETERA CRUZ DE CENOVI LOS INDIOS,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,LA ROSA DE CENOVI 1,N/D,19.27602,-70.36139
960,LA SEQUIA,CARRETERA LOS ESPINOS LA SEQUIA CERCA DEL LICEO,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,LA SEQUIA,N/D,19.31959,-70.28925
961,PORQUERO,CARRETERA PORQUERO LA CRUZ DE CENOVI,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,PORQUERO,N/D,19.19368,-70.222291
963,SANTA ANA,C PILAR TAVERAS EN EL CLUB CULTURAL Y DEPORTIVO SANTA ANA AL LADO DE LA CANCHA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,SANTA ANA 1,N/D,19.29954,-70.26309
965,EL CAIMITO,CARRETERA EL CAIMITO LA BOCA AL LADO DE LA ESCUELA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,EL CAIMITO 1,N/D,19.17219,-70.2936
966,GENIMILLO,CARRETERA COLON LA BOCA FRENTE A LA BANCA PH,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,GENIMILLO,N/D,19.21813,-70.29004
967,GENIMO,CARRETERA LAS CEJAS LA GINA ANTES DE LLEGAR A COLMADO,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,GENIMO 1,N/D,19.22723,-70.27705
970,LOS BOMBEROS,C COLON ESQUINA IMBERT S N LOS BOMBEROS ANTIGUA CHOCOLATERA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,LOS BOMBEROS 1,N/D,19.29343,-70.25568
971,LOS RIELITOS,C VIA FERREA RIELITO ABAJO EN LA ESCUELA PRIMARIA VIA FERREA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,LOS RIELITOS,N/D,19.26506,-70.26122
972,EL FIRME,CARRETERA RINCON HONDO LAGUNA DE COTO EN ENTRADA DE LOMA VIEJA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,CASTILLO,EL FIRME,N/D,19.2934,-70.05517
973,CASTILLO URBANO,C SANCHEZ 22 AL LADO DE LA LOGIA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,CASTILLO,CASTILLO URBANO 1,N/D,19.21047,-70.02703
974,JOSE FERREIRA EL RUCIO,PARAJE EL RUCIO ABAJO,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,CASTILLO,EL RUCIO,N/D,19.13447,-70.2191
978,HOSTOS,C SAN JOSE DESPUES DEL PUENTE,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,EUGENIO MARIA DE HOSTOS,HOSTOS,N/D,19.18396,-70.02097
979,ISLETA DE CERREJON,AL LADO DE LA MINA DE ARENA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,EUGENIO MARIA DE HOSTOS,ISLETA CARREJON,N/D,19.13841,-70.01694
980,LAS GUARANAS CPN LAS GUAR,CALLE CLUB DE LEONES 12 SECTOR LA POLICLINICA ENTRANDO POR EL CENTRO MEDICO LA UNION,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,LAS GUARANAS,LAS GUARANAS 1,N/D,19.19295,-70.20816
982,LOS LIMONES DE PIMENTEL,CARRETERA LAS GUARANAS PIMENTEL SECCION  DETRAS DE LA ESCUELA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,PIMENTEL,LOS LIMONES PIMENTEL,N/D,19.18268,-70.17876
983,LOS NARANJOS,CARRETERA PRINCIPAL EL ALTOS DE LOS FRIAS,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,CASTILLO,LOS NARANJOS,N/D,19.2958,-70.06298
984,NUESTRA SENORA DEL CARMEN,CENTRO DEL PUEBLO EN LA IGLESIA,CONSULTORIO,CIBAO NORDESTE,DUARTE,LAS GUARANAS,LAS GUARANAS 3,N/D,19.1945,-70.20673
985,PIMENTEL URBANO,C TONINO ACHECAR 120 SECTOR REBELDE,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,PIMENTEL,PIMENTEL URBANO 1,N/D,19.1838,-70.10699
986,RINCON HONDO,CARRETERA CRUCE DE LOS LANOS EL FIRME DESPUES DE LA ESCUELA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,CASTILLO,RINCON HONDO,N/D,19.24391,-70.0713
987,SABANA GRANDE DE HOSTOS,C PRINCIPAL CULATA AL MEDIO 56 DESPUES DE LA ESCUELA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,EUGENIO MARIA DE HOSTOS,SABANA GRANDE DE HOSTOS,N/D,19.174721,-70.07068
992,MARIA MADRE,CALLE PRIMERA SN ENSANCHE DUARTE EN LA IGLESIA,CONSULTORIO,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,EL MADRIGAL 2,N/D,19.2979876,-70.253632
1003,BENDAÑO,CALLE PRINCIPAL ENTRANDO POR EL CRUCE DE MATA PALOMA,CENTRO DE PRIMER NIVEL,VALDESIA,SAN CRISTOBAL,SAN CRISTOBAL,VENDAÑO,N/D,18.4703408,-70.2074
1004,FORTALEZA DUARTE,C LUPERON ESQ SAN FCO AL LADO DEL RIO JAYA,CONSULTORIO,CIBAO NORDESTE,DUARTE,SAN FRANCISCO DE MACORIS,SANTA ANA 1,N/D,19.30112,-70.26044
1036,EL CARRIL,CALLE PRINCIPAL SABANETA EN EL LOCAL DE LA JUNTA DE VECINOS,CENTRO DE PRIMER NIVEL,VALDESIA,SAN CRISTOBAL,BAJOS DE HAINA,EL CARRIL,N/D,18.4414,-70.03239
1040,ARENOSO CPNAR,CALLE DUARTE CERCA DE LA BOMBA DE GASOLINA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,ARENOSO,ARENOSO 1,N/D,19.18682,-69.86007
1041,BARRAQUITO,C DEL INDRHI AL LADO DEL INDRHI,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,VILLA RIVA,BARRAQUITO 1,N/D,19.12399,-69.78347
1042,BOMBA DE YAIBA,CARRETERA CRUCE DE LA TARANA BOMBA DE YAIBA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,VILLA RIVA,BOMBA DE YAIBA,N/D,19.18131,-69.98649
1043,CEIBA DE LOS PAJAROS,CARRETERA LA VERDE CEIBA DE LOS PAJAROS CERCA DEL COLMADO,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,VILLA RIVA,CEIBA DE LOS PAJAROS,N/D,19.1359,-69.9212
1044,EL AGUACATE,C PRINCIPAL DEL AGUACATE DESPUES DE LA ESCUELA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,ARENOSO,AGUACATE,N/D,19.2155,-69.822
1045,GUARAGUAO,DETRAS AL PLAY DE SOFTBALL Y AL LADO DE LA DEFENSA CIVIL,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,VILLA RIVA,GUARAGUAO 1,N/D,19.1134,-69.823
1046,LA REFORMA,C PRINCIPAL DETRAS DEL CUARTEL DEL EJERCITO NACIONAL,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,VILLA RIVA,LA REFORMA 1,N/D,19.15098,-69.81657
1047,JOBOBAN,CARRETERA EL ABANICO MADRE VIEJA DEL POZO,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,VILLA RIVA,JOBOBAN,N/D,19.2305,-69.91827
1048,LAS CARRERAS,C PRINCIPAL DE LAS COLES AL LADO DE LA IGLESIA EVANGELICA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,ARENOSO,LAS CARRERAS,N/D,19.15038,-69.73443
1049,LAS COLES,CARRETERA ARENOSO LA GARZA,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,ARENOSO,LAS COLES,N/D,19.15639,-69.78812
1050,LAS TARANAS,CARRETERA PRINCIPAL CRUCE DE TARANAS HACIA EL PUEBLO DE TARANAS,CENTRO DE PRIMER NIVEL,CIBAO NORDESTE,DUARTE,VILLA RIVA,LAS TARANAS,N/D,19.20783,-69.98222
1103,CAMBITA CRUCE,CALLE LAS TRINITARIAS AL LADO DE LA ESCUELA CAMBITA GARABITO,CENTRO DE PRIMER NIVEL,VALDESIA,SAN CRISTOBAL,CAMBITA GARABITOS,CAMBITA CRUCE,N/D,18.4543,-70.1753
1106,MUCHA AGUA,CARRETERA PRINCIPAL DESPUES DE LA ESCUELA SECCION MUCHA AGUA,CENTRO DE PRIMER NIVEL,VALDESIA,SAN CRISTOBAL,CAMBITA GARABITOS,MUCHA AGUA,N/D,18.43316,-70.24718
1353,CENTRO DE PRIMER NIVEL DE ATENCION SAN PABLO APOSTOL,CALLE JUAN ALEJANDRO ESQ LOS MARTIRES SECTOR CRISTO REY,CENTRO DE PRIMER NIVEL,OZAMA,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,CRISTO REY 18,N/D,18.5012,-69.9248
1355,CENTRO DE PRIMER NIVEL DE ATENCION EL CALICHE DE LOS RIOS,CALLE LA CIMA  NO 5 SECTOR EL CALICHE DE LOS RIOS,CENTRO DE PRIMER NIVEL,OZAMA,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,Caliche de Los Rios,N/D,18.4860802,-69.9727849
1356,CENTRO DE PRIMER NIVEL EVANGELINA RODRIGUEZ INTEC,AV LOS PROCERES ENSACHE GALA UNIVERDAD INTEC,CONSULTORIO,OZAMA,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,Jardin Botanico,N/D,18.4845853,-69.965873
1364,BELLAS COLINAS,CALLE CENTRAL  12 BELLAS COLINAS,CENTRO DE PRIMER NIVEL,OZAMA,SANTO DOMINGO,SANTO DOMINGO OESTE,LAS COLINAS 2,N/D,18.49,-70.01
1397,EL PALMAR DE HERRERA,CALLE CARACAS ESQUINA ROSA DUARTE 29 EL PALMAR DE HERRERA,CENTRO DE PRIMER NIVEL,OZAMA,SANTO DOMINGO,SANTO DOMINGO OESTE,EL PALMAR 1,N/D,18.45,-69.99
1440,DISPENSARIO MEDICO DON ESMERALDO DIAZ,CALLE CAONABO 50 SIMON BOLIVAR,CENTRO DE PRIMER NIVEL,OZAMA,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,LAS CAÑITAS 4,N/D,18.51,-69.9
1441,CENTRO DE SALUD SAN RAFAEL ARCANGEL,CALLE 8  24 DE ABRIL,CENTRO DE PRIMER NIVEL,OZAMA,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,24 DE ABRIL 2,N/D,18.51,-69.89
1442,CENTRO DE SALUD ASCENSION DEL SENOR,CALLE AMPARO 17 LAS CANITAS,CENTRO DE PRIMER NIVEL,OZAMA,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,JALIZCO,N/D,18.5095,-69.8919
1445,CENTRO CARDIONEURO OFTALMOLOGICO Y TRANSPLANTE CECANOT,C FEDERICO BERMUDEZ 10 ESQ FEDERICO VELAZQUE MARIA AUXILIADORA,HOSPITAL ALTA COMPLEJIDAD,OZAMA,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,BARNEY MORGAN,N/D,18.495,-69.892
1447,UNIDAD DE QUEMADOS PEARL F ORT,FEDERICO BERMUDEZ 10,HOSPITAL ALTA COMPLEJIDAD,OZAMA,DISTRITO NACIONAL,SANTO DOMINGO DE GUZMAN,BARNEY MORGAN,N/D,18.493807,-69.89062
