最終まとめ（あなたが今すぐダッシュボードに追加できるExcelリスト）
Vivienda（住宅） – 11ファイル（最小構成）
cuadro-11-volumen-i.xlsm
cuadro-12-volumen-i.xlsm
cuadro-13-volumen-i.xlsm
cuadro-14-volumen-i.xlsm
cuadro-6-volumen-ii.xlsx
cuadro-13-volumen-ii.xlsx
cuadro-14-volumen-ii.xlsx
cuadro-15-volumen-ii.xlsx
cuadro-16-volumen-ii.xlsx
cuadro-17-volumen-ii.xlsx
cuadro-18-volumen-ii.xlsx

Educación（教育） – 3ファイル（最小構成）
cuadro-1-del-volumen-iv.xlsx
cuadro-8-del-volumen-iv.xlsx
cuadro-9-del-volumen-iv.xlsx

TIC – 3ファイル（最小構成）
cuadro-4-vol-4.xlsx
cuadro-5-vol-4.xlsx
cuadro-6-vol-4.xlsx


📌 最終まとめ — 新規追加できる指標一覧（この42件の中だけ）
1. Vivienda（住宅）
Tipo de vivienda / Condición de ocupación / Material（pared, techo, piso） / Cocina / Servicios sanitarios / Agua / Combustible / Alumbrado / Basura

2. Hogares
Número de cuartos / dormitorios / miembros

3. Zona urbana-rural
人口・住宅・世帯・TIC・教育・年齢の都市／農村分類

4. Educación
Nivel de instrucción / Asistencia escolar

5. TIC
Uso internet（edad/sexo/zona） / dispositivos TIC

6. Demografía avanzada
Índice de masculinidad / población por zona / estructura por edad（zona×sexo）

7. Estado conyugal
Soltero / Casado / Unión libre / Divorciado / Viudo


	ファイルのタイトル (Título)	ファイル名 (Nombre del archivo)
26	Número de hogares por fuente de abastecimiento de agua para uso doméstico, según región, provincia, municipio, distrito municipalと zona	cuadro-14-volumen-ii.xlsx
27	Número de hogares por fuente de abastecimiento de agua para beber, según región, provincia, municipio y distrito municipalと zona	cuadro-15-volumen-ii.xlsx
28	Número de hogares por el principal combustible utilizado para cocinar, según región, provincia, municipio, distrito municipalと zona	cuadro-16-volumen-ii.xlsx
29	Número de hogares por principal tipo de alumbrado utilizado, según región, provincia, municipio, distrito municipalと zona	cuadro-17-volumen-ii.xlsx
30	Número de hogares por la forma principal de eliminar la basura, según región, provincia, municipio, distrito municipalと zona	cuadro-18-volumen-ii.xlsx
31	Población por zona de residencia, sexo e índice de masculinidad, según región, provincia, municipio, distrito municipalと grupos de edades	cuadro-2-volumen-iii.xlsx
32	Población de 12 años y más, por zona de residencia y sexo, según región, provincia, municipio, distrito municipalと estado conyugal	cuadro-9-vol-lll.xlsx
33	Población de 5 años y más, por grupos de edades, según región, provincia, municipio, zona de residenciaと uso de internet en los 3 meses anteriores al censo	cuadro-4-vol-4.xlsx
34	Población de 5 años y más, por grupos de edades, según región, provincia, municipio, sexoと uso de internet en los 3 meses anteriores al censo	cuadro-5-vol-4.xlsx
35	Población de 5 años y más, por uso de dispositivos de acceso a la información y la comunicación, según región, provincia, municipioと grupos de edades	cuadro-6-vol-4.xlsx
36	Población de 3 años y más, por zona de residencia y sexo, según región, provincia, municipio, distrito municipalと nivel de instrucción	cuadro-1-del-volumen-iv.xlsx
37	Población de 5 años y más, por grupos de edades, según región, provincia, municipio, zona de residenciaと uso de internet en los 3 meses anteriores al censo	cuadro-11-del-volumen-iv.xlsx
38	Población de 5 añosと más, por grupos de edades, según región, provincia, municipio, sexoと uso de internet en los 3 meses anteriores al censo	cuadro-12-del-volumen-iv.xlsx
39	Población de 5 añosと más, por uso de dispositivos de acceso a la informaciónと la comunicación, según región, provincia, municipioと grupos de edades	cuadro-13-del-volumen-iv.xlsx
40	Población de 3 añosと más que asiste o asistió a la escuela, por nivel de instrucción, según región, provincia, zona de residenciaと asistencia	cuadro-8-del-volumen-iv.xlsx
41	Población de 3 añosと más, por sexo y asistencia escolar, según región, provincia, zona de residenciaと grupos de edades	cuadro-9-del-volumen-iv.xlsx
42	Población de 15 añosと más, por zona de residencia y sexo, según región, provinciaと años de escolaridad alcanzados	cuadro-10-del-volumen-iv.xlsx

